"Priority","Setting Requirement","Module","View","ViewModel","Model","Services","Recommended Settings Page Location","Recommended Settings Type","Access Via Settings Menu Only","Current Status","Implementation Notes","Evidence","Database Table","Database Columns","Save Data","Load Data","Database Schema Action","Supported Scope","Scope Resolution Order"
"High","Change signed-in user's password","Module_Startup","Module_Startup/Views/LoginPage.xaml","Module_Startup/ViewModels/LoginViewModel.cs","Module_Startup/Models/StartupCredentialCheckResult.cs","Module_Startup/Services/StartupSessionRepository.cs","Settings > Account > Password","User","Yes","Implemented in login workflow","Password is user-only; the temporary-password prompt remains a mandatory startup exception.","Password update is persisted by StartupSessionRepository.","core_users_profiles","id; password_hash; password_salt; require_password_change; updated_utc","Hash and save password_hash/password_salt; set require_password_change=0.","Load by current user_id; never load plaintext passwords.","Existing table is sufficient; verify hash length and use a reviewed update procedure.","user","workstation -> all_users -> user -> admin -> developer"
"High","Forget remembered username and password","Module_Startup","Module_Startup/Views/LoginPage.xaml","Module_Startup/ViewModels/LoginViewModel.cs","","Module_Settings/Services/LocalSettingsService.cs","Settings > Account > Saved sign-in","User","Yes","Implemented in login workflow","Store only remember_sign_in; never store a plaintext password in the database.","Legacy local keys are Login.RememberedUsername and Login.RememberedPassword.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; user_id; setting_value_bool; updated_by_user_id; updated_utc","Save login.remember_sign_in for the current user and clear legacy local values.","Load by current user_id with user scope.","Add scope_type/scope_key/user_id and scoped uniqueness; no remembered_password column.","user","workstation -> all_users -> user -> admin -> developer"
"High","Clear local session and sign out","Module_Startup","Module_Startup/Views/LoginWindow.xaml","Module_Startup/ViewModels/LoginViewModel.cs","Module_Startup/Models/StartupState.cs","Module_Settings/Services/LocalSettingsService.cs; Module_Startup/Services/StartupSessionRepository.cs","Settings > Account > Session","User","Yes","Session persistence implemented; sign-out control not present","Revoke the active database session and route to Login; do not put this in the waitlist page.","Local Startup.Session.Token and Startup.Session.ExpiresUtc are migration targets.","auth_sessions_tokens; config_settings_history","auth_sessions_tokens.id; revoked_utc; is_active; changed_by_user_id; changed_utc","Revoke the active row and audit the action; never save the token in settings.","Load active session by user_id/workstation_id and DB UTC.","Add a reviewed revoke procedure and remove local token persistence.","user","workstation -> all_users -> user -> admin -> developer"
"High","Centralized logging destination","Module_Startup","Module_Startup/Views/SplashView.xaml","Module_Startup/ViewModels/SplashViewModel.cs","Module_Startup/Models/StartupLoggingOptions.cs","Module_Startup/Services/StartupLogService.cs; Module_Startup/Services/StartupLogForwarder.cs","Settings > Developer Diagnostics > Logging destination","Developer","Yes","Implemented through startup prompt","Developer changes are global by default but may be overridden for a workstation.","Currently persisted as Startup.Logging.CentralizedDestination locally.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; setting_value; value_type; updated_by_user_id; updated_utc","Save startup.logging.centralized_destination at the selected scope.","Call sp_config_settings_get_effective with workstation_id and user_id.","Use scoped uniqueness and authorization through sp_config_settings_upsert.","workstation; all_users; user; admin; developer","workstation -> all_users -> user -> admin -> developer"
"High","Hosted startup log directory","Module_Startup","Module_Startup/Views/SplashView.xaml","Module_Startup/ViewModels/SplashViewModel.cs","Module_Startup/Models/StartupLoggingOptions.cs","Module_Startup/Services/StartupLogService.cs; Module_Settings/Services/LocalSettingsService.cs","Settings > Developer Diagnostics > Local log directory","Developer","Yes","Implemented through startup destination flow","Support workstation-specific paths with global fallback; startup remains a blocking fallback only.","Currently persisted as Startup.Logging.HostedVmLogDirectory locally.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; setting_value; value_type; updated_by_user_id; updated_utc","Save startup.logging.hosted_vm_log_directory at the selected scope.","Resolve the effective value by workstation_id and user_id.","Use scoped settings procedures and path validation.","workstation; all_users; user; admin; developer","workstation -> all_users -> user -> admin -> developer"
"High","Startup database connection configuration","Module_Startup","Module_Startup/Views/SplashView.xaml","Module_Startup/ViewModels/SplashViewModel.cs","Module_Startup/Models/StartupDatabaseOptions.cs","Module_Startup/Services/StartupSessionRepository.cs; Module_Startup/Services/StartupCoordinator.cs","Settings > Developer Diagnostics > Database connectivity","Developer","Yes","Implemented through appsettings and environment override only","Store only a non-secret profile/reference; resolve credentials from deployment configuration.","Uses MTM_WAITLIST_STARTUP_DB_CONNECTION_STRING.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; setting_value; value_type; updated_by_user_id; updated_utc","Save the selected database profile at the selected scope; never save raw credentials.","Load the effective profile by workstation_id and user_id.","Add connection-profile validation; keep secrets outside config_settings_values.","workstation; all_users; user; admin; developer","workstation -> all_users -> user -> admin -> developer"
"High","Startup recovery and settings reset","Module_Startup","Module_Startup/Views/SplashView.xaml","Module_Startup/ViewModels/SplashViewModel.cs","Module_Startup/Models/StartupState.cs","Module_Startup/Services/StartupRecoveryService.cs; Module_Settings/Services/LocalSettingsService.cs","Settings > Developer Diagnostics > Recovery","Developer","Yes","Implemented only during startup failure","Allow targeted scope reset with confirmation and audit; local reset is migration cleanup only.","Current recovery targets local settings.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; user_id; changed_by_user_id; changed_utc","Restore or remove the selected scoped value and write history.","Load the selected value and history by setting_key/scope_key.","Add reviewed reset/restore procedures; never erase audit history.","workstation; all_users; user; admin; developer","workstation -> all_users -> user -> admin -> developer"
"Medium","Default waitlist building","Module_Core","Module_Core/Views/ShellPage.xaml","Module_Core/ViewModels/ShellViewModel.cs","","Module_Core/Services/BuildingSelectionService.cs; future database settings service","Settings > Work Context > Default building","User","Yes","Building selection is implemented in the shell header but not persisted","Persist the preference in Settings; make the header selector read-only or remove it.","Current selector is in ShellPage header.","config_settings_values; config_settings_history; core_buildings_catalog","setting_key; scope_type; scope_key; workstation_id; user_id; setting_value; updated_by_user_id; updated_utc","Save waitlist.default_building as user or workstation scope.","Load the effective building preference and validate against active core_buildings_catalog rows.","Use scoped settings plus the new building catalog.","workstation; user","workstation -> all_users -> user -> admin -> developer"
"Medium","Manage available buildings","Module_Core","Module_Core/Views/ShellPage.xaml","Module_Core/ViewModels/ShellViewModel.cs","Future Building model","Module_Core/Services/BuildingSelectionService.cs; future BuildingSettingsService","Settings > Administration > Buildings","Admin settings","Yes","Buildings are hard-coded to Expo Drive and Vits Drive","Manage the catalog only through an admin Settings page.","BuildingSelectionService currently hard-codes the list.","core_buildings_catalog; core_buildings_history","building_code; building_name; is_active; updated_by_user_id; changed_utc","Use sp_core_buildings_upsert and write history for updates.","Load active buildings ordered by building_name.","Added core_buildings_catalog/history tables and admin upsert procedure.","all_users; admin; developer","workstation -> all_users -> user -> admin -> developer"
"Medium","Application theme","Module_Settings","Module_Settings/Views/SettingsPage.xaml","Module_Settings/ViewModels/SettingsViewModel.cs","","Module_Core/Services/ThemeSelectorService.cs; future database settings service","Settings > Personalization > Theme","User","Yes","Implemented in Settings page","Replace local persistence with a user preference; optionally support workstation default fallback.","Currently persisted under AppBackgroundRequestedTheme locally.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; user_id; setting_value; updated_by_user_id; updated_utc","Save app.background_requested_theme at user or workstation scope.","Load effective theme before shell display.","Migrate AppBackgroundRequestedTheme and use scoped uniqueness.","workstation; user","workstation -> all_users -> user -> admin -> developer"
"Medium","Startup log retention days","Module_Startup","No settings view currently","No settings view currently","Module_Startup/Models/StartupLoggingOptions.cs","Module_Startup/Services/StartupLogService.cs","Settings > Developer Diagnostics > Logging retention","Developer","Yes","Configured in appsettings only","Allow workstation overrides with all-users fallback.","Default is 14 days.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; setting_value_int; updated_by_user_id; updated_utc","Save startup.logging.retention_days at selected scope.","Load effective value by workstation_id and user_id; fallback to 14.","Move runtime option resolution from appsettings to database.","workstation; all_users; user; admin; developer","workstation -> all_users -> user -> admin -> developer"
"Medium","Startup log maximum directory size","Module_Startup","No settings view currently","No settings view currently","Module_Startup/Models/StartupLoggingOptions.cs","Module_Startup/Services/StartupLogService.cs","Settings > Developer Diagnostics > Logging retention","Developer","Yes","Configured in appsettings only","Allow workstation overrides with all-users fallback.","Default is 250 MB.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; setting_value_int; updated_by_user_id; updated_utc","Save startup.logging.max_directory_size_mb at selected scope.","Load effective value by workstation_id and user_id; fallback to 250.","Move runtime option resolution from appsettings to database.","workstation; all_users; user; admin; developer","workstation -> all_users -> user -> admin -> developer"
"Medium","Startup log forwarding retry count","Module_Startup","No settings view currently","No settings view currently","Module_Startup/Models/StartupLoggingOptions.cs","Module_Startup/Services/StartupLogService.cs; Module_Startup/Services/StartupLogForwarder.cs","Settings > Developer Diagnostics > Logging reliability","Developer","Yes","Configured in appsettings only","Allow workstation overrides with all-users fallback.","Default is 2 retries.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; setting_value_int; updated_by_user_id; updated_utc","Save startup.logging.forward_retry_count at selected scope.","Load effective value by workstation_id and user_id; fallback to 2.","Move runtime option resolution from appsettings to database.","workstation; all_users; user; admin; developer","workstation -> all_users -> user -> admin -> developer"
"Medium","Module diagnostics enablement","Module_Core","No settings view currently","No settings view currently","Module_Core/Models/ModuleCoreSettingsOptions.cs","Module_Core/Services/DependencyInjection/ModuleDependencyInjectionExtensions.cs","Settings > Developer Diagnostics > Module diagnostics","Developer","Yes","Configured option exists but no visible control","Expose only after runtime behavior is wired; allow workstation diagnostics overrides.","Default is true.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; setting_value_bool; updated_by_user_id; updated_utc","Save module_core.enable_module_diagnostics at selected scope.","Load effective value by workstation_id and user_id; fallback to true.","Use scoped settings or remove the unused option.","workstation; all_users; user; admin; developer","workstation -> all_users -> user -> admin -> developer"
"Medium","Default refresh interval","Module_Core","No refresh settings view currently","No refresh settings view currently","Module_Core/Models/ModuleCoreSettingsOptions.cs","Future refresh service","Settings > Work Context > Refresh","Admin settings","Yes","Option exists but no current refresh loop","Do not expose until a refresh service consumes it; allow workstation override if needed.","Default is 30 seconds.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; setting_value_int; updated_by_user_id; updated_utc","Save module_core.default_refresh_interval_seconds at selected scope.","Load effective value by workstation_id and user_id; fallback to 30.","Use database-backed option resolution after refresh service exists.","workstation; all_users; admin; developer","workstation -> all_users -> user -> admin -> developer"
"Medium","Supervisor analytics refresh interval","Module_Reporting","Future analytics page","Future SupervisorAnalyticsViewModel","Future analytics preferences model","Future analytics service","Settings > Analytics > Refresh","User","Yes","Planned and deferred until startup phases 01-09 complete","User preference; workstation fallback is optional and should not override an explicit user choice.","Specified in Documents/Analytics/Plan.md.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; user_id; setting_value_int; updated_by_user_id; updated_utc","Save analytics.refresh_interval_seconds at user scope; default 300.","Load effective value by workstation_id and user_id.","Use scoped config settings after analytics implementation begins.","workstation; user","workstation -> all_users -> user -> admin -> developer"
"Medium","Supervisor analytics default filters and visible sections","Module_Reporting","Future analytics page","Future SupervisorAnalyticsViewModel","Future analytics preferences model","Future analytics service and database settings service","Settings > Analytics > Defaults and visible sections","User","Yes","Planned and deferred until startup phases 01-09 complete","Store user type, shift, building, and visible sections in Settings, not the analytics workflow UI.","Specified in Documents/Analytics/Plan.md.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; user_id; setting_value; updated_by_user_id; updated_utc","Save separate user-scoped keys such as analytics.default_user_type and analytics.visible_sections.","Load all analytics preference keys for current user_id.","Use scoped config settings; avoid a JSON blob unless approved.","user","workstation -> all_users -> user -> admin -> developer"
"Medium","Role-action policy matrix","Module_Startup","Future administrative settings page","Future role policy view model","Future StartupRolePolicyOptions.cs","Future StartupRolePolicyService.cs","Settings > Administration > Role policies","Admin settings","Yes","Planned in Phase 09","Policy is centralized; workstation scope may be used only for approved deployment exceptions.","Phase-Suggestions.md recommends configuration-driven role policy validation.","config_settings_values; config_settings_history","setting_key; scope_type; scope_key; workstation_id; setting_value; updated_by_user_id; updated_utc","Save role_policy.<role>.<action> at admin/developer scope with history.","Load effective policy at startup using workstation_id and user_id.","Validate policy keys and authorization in the settings service.","all_users; admin; developer","workstation -> all_users -> user -> admin -> developer"
"Medium","Diagnostic report export location and history","Module_Startup","Future developer diagnostics page","Future DeveloperDiagnosticsViewModel","Future diagnostic report model","Future StartupDiagnosticExportService","Settings > Developer Diagnostics > Reports","Developer","Yes","Planned in Phase 08","Allow workstation-specific export paths with global fallback; keep export out of waitlist workflow.","Phase-Suggestions.md and Phase-08-Developer-Mode-and-Export-Reports.md define the workflow.","config_settings_values; config_settings_history; ops_startup_logs","setting_key; scope_type; scope_key; workstation_id; setting_value; updated_by_user_id; updated_utc; payload_json","Save developer.diagnostic_export_directory at selected scope and log export metadata.","Load effective directory and query export events by actor/date.","Use existing config/log tables; add a report table only if catalog requirements expand.","workstation; all_users; admin; developer","workstation -> all_users -> user -> admin -> developer"
