"TableName"	"ConstraintName"	"ColumnName"	"KeyOrdinal"
"PHYS_INV_PIECES"	"X_PHYS_PIECES_0"	"PHYS_COUNT_ID"	"1"
"PHYS_INV_PIECES"	"X_PHYS_PIECES_0"	"TAG_NO"	"2"
"PHYS_INV_PIECES"	"X_PHYS_PIECES_0"	"PART_ID"	"3"
"PHYS_INV_PIECES"	"X_PHYS_PIECES_0"	"LENGTH"	"4"
"PHYS_INV_PIECES"	"X_PHYS_PIECES_0"	"WIDTH"	"5"
"PHYS_INV_PIECES"	"X_PHYS_PIECES_0"	"HEIGHT"	"6"
"PHYS_INV_PIECES"	"X_PHYS_PIECES_0"	"WAREHOUSE_ID"	"7"
"PHYS_INV_PIECES"	"X_PHYS_PIECES_0"	"LOCATION_ID"	"8"
"PHYS_INV_PIECES"	"X_PHYS_PIECES_0"	"DIMENSIONS_UM"	"9"
"PHYS_INV_PIECES"	"X_PHYS_PIECES_0"	"SUB_TAG_NO"	"10"
