"TableName"	"ConstraintName"	"ColumnName"	"KeyOrdinal"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_0"	"USER_ID"	"1"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_0"	"ID"	"2"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_1"	"GL_ACCOUNT_ID"	"1"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_1"	"PROJECT_ID"	"2"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_1"	"USER_ID"	"3"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_1"	"ID"	"4"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_2"	"PROJECT_ID"	"1"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_2"	"WBS_CODE"	"2"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_2"	"DEPARTMENT_ID"	"3"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_2"	"COST_CATEGORY_ID"	"4"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_2"	"USER_ID"	"5"
"PROJECT_GL_TRANS"	"X_PRJ_GL_TRANS_2"	"ID"	"6"
