"TableSchema"	"ViewName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"
"dbo"	"CR_PART_LOCATION"	"1"	"ID"	"nvarchar"	"30"	"0"	"0"	"NO"
"dbo"	"CR_PART_LOCATION"	"2"	"WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"
"dbo"	"CR_PART_LOCATION"	"3"	"LOCATION_ID"	"nvarchar"	"15"	"0"	"0"	"YES"
"dbo"	"CR_PART_LOCATION"	"4"	"DESCRIPTION"	"nvarchar"	"80"	"0"	"0"	"YES"
"dbo"	"CR_PART_LOCATION"	"5"	"HOLD_REASON_ID"	"nvarchar"	"15"	"0"	"0"	"YES"
"dbo"	"CR_PART_LOCATION"	"6"	"QTY"	"decimal"	"NULL"	"20"	"8"	"YES"
"dbo"	"CR_PART_LOCATION"	"7"	"STATUS"	"nchar"	"1"	"0"	"0"	"YES"
"dbo"	"CR_PART_LOCATION"	"8"	"LOCKED"	"nchar"	"1"	"0"	"0"	"YES"
"dbo"	"CR_PART_LOCATION"	"9"	"LAST_COUNT_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"
"dbo"	"CR_PART_LOCATION"	"10"	"PURGE_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"
"dbo"	"CR_PART_LOCATION"	"11"	"TRANSIT"	"nchar"	"1"	"0"	"0"	"YES"
"dbo"	"CR_PART_LOCATION"	"12"	"COMMITTED_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"
"dbo"	"CR_PART_LOCATION"	"13"	"DEF_BACKFLUSH_LOC"	"nchar"	"1"	"0"	"0"	"YES"
"dbo"	"CR_PART_LOCATION"	"14"	"AUTO_ISSUE_LOC"	"nchar"	"1"	"0"	"0"	"YES"
"dbo"	"CR_PART_LOCATION"	"15"	"DC_CLASS_ID"	"nchar"	"1"	"0"	"0"	"YES"
"dbo"	"CR_PART_LOCATION"	"16"	"DEF_INSPECT_LOC"	"nchar"	"1"	"0"	"0"	"YES"
"dbo"	"CR_PART_LOCATION"	"17"	"ORDER_POINT"	"decimal"	"NULL"	"20"	"8"	"YES"
"dbo"	"CR_PART_LOCATION"	"18"	"ORDER_UP_TO_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"
"dbo"	"CR_PART_LOCATION"	"19"	"STATUS_EFF_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"
